year,city,product_type,farmer_number,total_area,amount
2008,CANAKKALE,MARUL,,,13
2008,CANAKKALE,MISIR,,,872
2008,CANAKKALE,NANE,,,2
2008,CANAKKALE,NEKTARIN,,,8
2008,CANAKKALE,OGUL OTU,,,1
2008,CANAKKALE,PANCAR,,,6
2008,CANAKKALE,ROKA,,,3
2012,MANISA,BAL KABAGI,,,6
2008,CANAKKALE,YABANI ARMUT,,,0
2008,CANAKKALE,YABANI ELMA,,,0
2008,CANAKKALE,KIVI,,,1
2008,CANAKKALE,SOYA FASULYESI,,,6
2008,CANAKKALE,ISPANAK,,,23
2012,MERSIN,BAL KABAGI,,,2
2012,ZONGULDAK,BAL KABAGI,,,4
2008,CANAKKALE,IGDE,,,0
2008,CANAKKALE,PAZI,,,12
2013,AFYONKARAHISAR,BAL KABAGI,,,1
2008,CANAKKALE,TURP,,,7
2008,CANAKKALE,BAMYA,,,7
2013,ANKARA,BAL KABAGI,,,28
2008,CANAKKALE,LAHANA,,,23
2008,CANAKKALE,CENNET ELMASI,,,0
2008,CANAKKALE,CITLENBIK,,,0
2008,CANAKKALE,KISNIS,,,1
2008,CANAKKALE,KAVAK,,,0
2008,CANAKKALE,CAYIR,,,20
2008,CANAKKALE,KEREVIZ,,,11
2013,AYDIN,BAL KABAGI,,,30
